Ki [nM],pKi,standardized_smiles
4800.0,5.318758762624412,CN1CCC(c2c[nH]c3ccc(NC(=O)c4ccc(F)cc4)nc23)CC1
202.3,6.694004117229195,S=C(NCCCc1c[nH]cn1)NCCCN(Cc1ccc(Cl)c(Cl)c1)c1ccc(Br)cn1
3183.0,5.4971633613789965,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
60.0,7.221848749616356,NCCc1ccc(CCCc2ccccc2)cc1
22.8,7.642065152999546,Nc1nc(SCCN2CCN(Cc3ccccc3Cl)CC2)nc(N)c1Cc1ccccc1O
18.3,7.73754891026957,Nc1nc(SCCN2CCN(Cc3ccccc3Cl)CC2)nc(N)c1Cc1ccccc1
4.3,8.366531544420413,COc1cc(Cc2c(N)nc(SCCN3CCN(Cc4ccccc4Cl)CC3)nc2N)cc(OC)c1OC
12.5,7.903089986991944,COc1ccc(Cc2c(N)nc(SCCN3CCN(Cc4ccc(C)cc4)CC3)nc2N)cc1
3400.0,5.468521082957745,CCC(=O)Nc1ccc2[nH]cc(C3CCN(C)CC3)c2n1
11.5,7.939302159646388,COc1ccc(Cc2c(N)nc(SCCN3CCN(Cc4ccccc4C)CC3)nc2N)cc1
7356.0,5.13335827943396,CN(C)CC(c1ccccc1)c1ccccc1
11.8,7.928117992693875,Nc1nc(SCCN2CCN(Cc3ccccc3Cl)CC2)nc(N)c1Cc1ccccc1Cl
47.7,7.321481620959886,COc1ccccc1Cc1c(N)nc(SCCN2CCN(Cc3ccccc3C(F)(F)F)CC2)nc1N
61.1,7.213958789757446,Nc1nc(SCCN2CCN(Cc3ccccc3C(F)(F)F)CC2)nc(N)c1Cc1ccccc1
4492.5,5.347511914218988,NCC(c1ccccc1)c1ccccc1
60.4,7.218963061378868,COc1ccccc1Cc1c(N)nc(SCCN2CCN(Cc3cccc(C(F)(F)F)c3)CC2)nc1N
44.6,7.350665141287858,COc1cccc(Cc2c(N)nc(SCCN3CCN(Cc4cccc(C(F)(F)F)c4)CC3)nc2N)c1
93.2,7.030584087646019,Nc1nc(SCCN2CCN(Cc3cccc(C(F)(F)F)c3)CC2)nc(N)c1Cc1ccccc1O
0.81,9.09151498112135,O=S1(=O)N(CCN2CC=C(c3c[nH]c4cc(F)ccc34)CC2)c2cccc3c2N1CCC3
86.0,7.0655015487564325,Fc1ccc(OCC2CNCCO2)c2c1CCC2
2.1,8.67778070526608,O=S(=O)(c1cccc2cccnc12)N1CCC(CCc2ccc(F)cc2F)CC1
0.65,9.187086643357144,NC(=O)c1ccc(S(=O)(=O)c2ccc(C=Cc3ccc(F)cc3F)cc2)cc1
28.0,7.552841968657781,COc1cccc(C(=O)Nc2ccc(OCCN3CCN(S(C)(=O)=O)CC3)c(-c3ccnn3C)c2)c1
1.8,8.744727494896694,COc1cccc(C(=O)Nc2ccc(OCCNCCO)c(-c3ccnn3C)c2)c1
1.32,8.87942606879415,O=S(=O)(c1ccccc1)c1ccc(C=Cc2ccc(F)cc2F)cc1
2.2,8.657577319177793,COc1cccc(C(=O)Nc2ccc(OCCN)c(-c3ccnn3C)c2)c1
18.0,7.7447274948966935,Cn1nccc1-c1cc(NC(=O)c2ccc(F)cc2)ccc1OCCN1CCOCC1
25.55,7.592609095529268,O=S(=O)(c1ccccc1)c1cnc2c(N3CCNCC3)cccc2c1
1.43,8.844663962534938,O=S(=O)(c1ccccc1)c1ccc(CCc2ccc(F)cc2F)cc1
0.65,9.187086643357144,NC(=O)c1ccccc1S(=O)(=O)c1ccc(C=Cc2ccc(F)cc2F)cc1
12.0,7.920818753952375,Cn1nccc1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCC(F)(F)C1
5.1,8.292429823902063,COc1cccc(C(=O)Nc2ccc(OCCN3CCN(C(N)=O)CC3)c(-c3ccnn3C)c2)c1
8.6,8.065501548756432,Cn1nccc1-c1cc(NC(=O)c2ccc(F)cc2F)ccc1OCCN1CCOCC1
5.1,8.292429823902063,Cn1nccc1-c1cc(NC(=O)c2cccc(F)c2)ccc1OCCN1CCOCC1
2511.89,5.59999938302362,c1ccc(N2CCN(CC3CCCCN3)C2)cc1
4.9,8.309803919971486,COc1cccc(C(=O)Nc2ccc(OCCN3CCOCC3)c(-c3ccnn3C)c2)c1
287.0,6.542118103266008,Cn1nccc1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCNC(=O)C1
0.07,10.154901959985743,CC(O)c1ccccc1S(=O)(=O)c1ccc(C=Cc2ccc(F)cc2)cc1
5.3,8.275724130399212,Cn1ncc(Cl)c1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCNC(=O)C1
1.9,8.721246399047171,Cn1nccc1-c1cc(NC(=O)c2ccc(C(F)(F)F)cc2)ccc1OCCN1CCCC1
0.22,9.657577319177793,CC(O)c1ccccc1S(=O)(=O)c1ccc(C=Cc2ccc(F)cc2)cc1
0.6,9.221848749616356,Cn1nccc1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCCC1
4.1,8.387216143280265,Cn1nccc1-c1cc(NC(=O)c2ccc(F)c(F)c2)ccc1OCCN1CCOCC1
15.0,7.823908740944319,CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(F)c3)cc2-c2ccnn2C)CC1
2.2,8.657577319177793,CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(F)c3)cc2-c2c(Cl)cnn2C)CC1
1584.89,5.800000874803203,O=C1N(CC2CCCCN2)CCN1c1cccc(Cl)c1
4.5,8.346787486224656,COc1cccc(C(=O)Nc2ccc(OCCN3CCN(C(C)=O)CC3)c(-c3ccnn3C)c2)c1
0.6,9.221848749616356,Cn1ncc(Cl)c1-c1cc(NC(=O)c2cccc(F)c2)ccc1OCCN1CCOCC1
2.4,8.619788758288394,Cn1nccc1-c1cc(NC(=O)c2ccc(C(F)(F)F)cc2)ccc1OCCN1CCOCC1
0.7,9.154901959985743,Cn1nccc1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCOCC1
0.2,9.698970004336019,NC(=O)c1cccc(S(=O)(=O)c2ccc(C=Cc3ccc(F)cc3F)cc2)c1
4.3,8.366531544420413,CC(=O)N1CCN(CCOc2ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc2-c2ccnn2C)CC1
12.8,7.892790030352131,COc1cc(OC2CCC(C)(C)CC2)c(F)cc1CNC(=O)C1CCCN1
13.7,7.863279432843593,CC1(C)CCC(Oc2cc(F)c(CNC(=O)C3CCCN3)cc2F)CC1
2019.53,5.694749691026954,CCc1cc2c(cc1CC)CC(NCC(O)c1ccc(O)c3[nH]c(=O)ccc13)C2
127.0,6.896196279044043,CN(C)CCCN1c2ccccc2CCc2ccccc21
156.0,6.806875401645538,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3c(c2)Cc2ccccc2-3)CC1
0.738,9.131943638176958,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
69.0,7.161150909262744,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
510.0,6.292429823902063,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
0.86,9.065501548756432,O=S(=O)(c1ccccc1)c1ccc(C=Cc2ccc(F)cc2F)nc1
9.45,8.024568191490737,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
173.0,6.761953896871205,CCN1C(=N)N(C)C(=Cc2c[nH]c3cc(F)ccc23)C1=O
655.0,6.183758700008217,CCN1C(=N)N(C)C(=Cc2c[nH]c3ccccc23)C1=O
235.0,6.628932137728263,CN1C(=N)N(C)C(=Cc2c[nH]c3cc(F)ccc23)C1=O
133.0,6.876148359032914,CN1CCc2ccc(O)cc2C(c2ccccc2)C1
0.63,9.200659450546418,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
198.0,6.703334809738469,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O
15.62,7.806318970458719,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1
21.05,7.676747899828313,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21
841.68,6.074852992406892,CC(NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12
229.61,6.639009201421079,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
6.968,8.156891858000392,CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2
173.0,6.761953896871205,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1
1055.0,5.976747540366288,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
0.728,9.137868620686962,CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
18.0,7.7447274948966935,Cn1cc(Br)c(C(=O)N2CCN(CCc3ccccc3F)CC2)n1
542.0,6.266000713461613,Cn1cc(Br)c(C(=O)N2CCN(CCc3cccc(F)c3)CC2)n1
34.0,7.468521082957745,Cn1cc(Br)c(C(=O)N2CCN(CCc3ccc(Cl)cc3)CC2)n1
408.0,6.38933983691012,COc1ccc(CCN2CCN(C(=O)c3nn(C)cc3Br)CC2)cc1
1.1,8.958607314841775,Cn1cc(Br)c(C(=O)N2CCN(CCc3ccc(F)cc3F)CC2)n1
3.9,8.4089353929735,Cn1cc(Br)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1
70.0,7.154901959985743,Cn1cc(Br)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3F)CC2)n1
270.0,6.568636235841013,Cn1cc(Br)c(C(=O)N2CCN(CC(=O)c3ccccc3F)CC2)n1
865.0,6.062983892535185,Cn1cc(Br)c(C(=O)N2CCN(CC(=O)c3ccc(C(F)(F)F)cc3)CC2)n1
6000.0,5.221848749616356,Cn1cc(Br)c(C(=O)N2CCN(CC(=O)c3ccc(OC(F)(F)F)cc3)CC2)n1
368.0,6.434152181326482,Cn1cc(Br)c(C(=O)N2CCN(CC(O)c3ccc(F)cc3)CC2)n1
2470.0,5.607303046740334,CON=C(CN1CCN(C(=O)c2nn(C)cc2Br)CC1)c1ccc(F)cc1
37.0,7.431798275933005,Cn1ccc(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1
4.6,8.337242168318426,Cc1c(Br)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)nn1C
4.6,8.337242168318426,Cc1[nH]nc(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)c1Br
36.0,7.443697499232712,Cc1cc(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)[nH]n1
8.5,8.070581074285707,Cc1cc(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)nn1C
9.3,8.031517051446064,Cc1cc(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)nn1C(C)(C)C
3.7,8.431798275933005,Cn1cc(Cl)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1
2.6,8.585026652029182,CCn1cc(Cl)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1
18.5,7.732828271596986,O=C(CN1CCN(C(=O)c2[nH]ncc2Cl)CC1)c1ccc(F)cc1
28.0,7.552841968657781,Cn1cc(C(F)(F)F)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1
4.5,8.346787486224656,Cn1cc(I)c(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)n1
11.0,7.958607314841775,Cc1cc(C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2)nn1-c1ccccc1
155.0,6.809668301829708,COc1ccc(NC(=O)N2CCN(CCc3ccc(F)cc3)CC2)cc1-c1c(Cl)cnn1C
88.0,7.055517327849832,O=C(Nc1[nH]ncc1Br)N1CCN(CCc2ccc(F)cc2)CC1
3.6,8.443697499232712,Cn1cc(Br)c(C(=O)N2CCN(CCc3ccc(F)cc3)CC2)n1
68.0,7.167491087293763,Cn1cc(Br)c(C(=O)N2CCN(CCc3ccccc3)CC2)n1
1122.0,5.950007143079858,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
7.943,8.100015437450608,C1=C(N2CCNCC2)c2nccn2Cc2ccccc21
