Ki [nM],pKi,standardized_smiles
328.0,6.484126156288321,CCc1cc2c(c(C(F)(F)F)c1)C(=O)N(C)C1CNCC21
10.7,7.97061622231479,CCCCN(C(=O)NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccccc1
1.07,8.97061622231479,O=c1c2cccnc2ccn1CCN1CCN(c2noc3ccccc23)CC1
9.519,8.021408673179925,O=C(NC1CCC(CCN2CCC(c3noc4cc(F)ccc34)CC2)CC1)c1ccc(N2CCOCC2)cc1
6.0,8.221848749616356,O=C1c2ncccc2CCC1CCN1CCN(c2noc3ccccc23)CC1
257.0,6.590066876668706,CC1N=C(N)Nc2cccc(Cl)c21
3.07,8.512861624522813,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)c(F)c21
82.5,7.0835460514500745,OC1(c2ccc(Cl)cc2)CCN(CCCSc2ccc(F)cc2)CC1
625.0,6.204119982655925,CN(C)CCn1ccc2ccccc21
42.66,7.36997914888659,O=C1CC(CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2[nH]ncc21
12.0,7.920818753952375,Cc1c2n(c3ccccc13)CCNCC2
5.8,8.236572006437063,Fc1ccc(N2CCN(CCC3OCCc4ccccc43)CC2)cc1
12.2,7.913640169325252,CC#CC(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1
26.0,7.585026652029182,O=c1c2cnccc2ccn1CCN1CCN(c2noc3ccccc23)CC1
1172.0,5.931072388317928,CCC(Oc1cc(C(F)(F)F)ccc1F)c1nc(N)nc(N2CCN(C)CC2)n1
501.19,6.299997602857746,COc1ccc(N2CCC(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCCC1
0.76,9.119186407719209,O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)OCc1ccccc1
2.2,8.657577319177793,Cc1cc2c(cn1)C(=O)N(CCN1CCC(c3noc4ccccc34)CC1)CC21CC1
50.0,7.301029995663981,Oc1cc(-c2c[nH]c3ccc(F)cc23)c(O)n1CCCCN1CCC(c2c[nH]c3ccccc23)CC1
3000.0,5.522878745280337,CC(=O)c1c(C)cc2oc(=O)cc(C)c2c1OCCCN1CCN(c2cnccn2)CC1
1.1,8.958607314841775,Cn1ccc2c1CCN(CCN1CCC(c3noc4ccccc34)CC1)C2=O
22.9,7.640164517660112,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
1970.0,5.705533773838407,O=c1[nH]c2c(N3CCN(CCC4CCCN4S(=O)(=O)c4cncc5ccccc45)CC3)cccc2o1
605.0,6.218244625347531,CC(Oc1ccc(C(F)(F)F)cc1OC1CNC1)c1cccc(C(F)(F)F)c1
125.0,6.903089986991944,COc1ccc(CCN(CCCc2cccc(Cl)c2)CCc2ccc3c(c2)OCO3)cc1OC
23.75,7.624336386039115,O=C(NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1CC(Cl)C1
10.0,8.0,CC(C)Oc1ccc(CC(=O)N(Cc2ccc(F)cc2F)C2CCN(C)CC2F)cc1
316.0,6.5003129173815966,CC(C)Oc1ccc(CC(=O)N(Cc2ccc(Cl)cc2Cl)C2CCN(C)CC2)cc1
1140.0,5.943095148663527,Clc1ccc2c3c1CCN3CCNC2
0.6,9.221848749616356,Nc1cc(F)ccc1C(=O)CCCN1CCC2C(C1)c1cccc3c1N2CCCC3
146.0,6.835647144215563,COc1cc(SCC(F)F)c(OC)cc1CCN
4.75,8.323306390375134,O=C(NC1CCc2ccc(CCN3CCN(c4nsc5ccccc45)CC3)cc21)c1ccccc1
0.33,9.481486060122112,Cn1ncc2c1CCCN(CCN1CCN(c3nsc4ccccc34)CC1)C2=O
15.72,7.8035474582966105,O=C(CC1(O)CCCCC1)NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1
93.0,7.031517051446065,COc1ccc(Cn2nnc(C(=O)NCCCCCN3CCN(c4ccccc4OC)CC3)c2C)cc1
12.0,7.920818753952375,NCc1cc(OCc2cc(F)ccc2F)n(CC2CCCC2)n1
5.37,8.270025714300445,O=S(=O)(NC1CCN(CCCc2noc3ccccc23)C1)c1ccc2cc(Cl)ccc2c1
10.0,8.0,Cn1cc2c(n1)CCN(CCN1CCN(c3noc4ccccc34)CC1)C2=O
